trial_index,group_id,trial_in_group,alpha,label_digit,label_type,show_time,image_path
45,0,45,0.0,3,normal,0.5,stimuli_master_pool/alpha_0.00/a0.00_rank030.png
46,0,46,0.56,8,abnormal,0.7,stimuli_master_pool/alpha_0.56/a0.56_rank333.png
47,0,47,0.8,8,abnormal,1.0,stimuli_master_pool/alpha_0.80/a0.80_rank095.png
48,0,48,0.0,3,normal,0.5,stimuli_master_pool/alpha_0.00/a0.00_rank046.png
49,0,49,0.52,8,abnormal,0.7,stimuli_master_pool/alpha_0.52/a0.52_rank465.png
50,0,50,0.48,3,normal,1.0,stimuli_master_pool/alpha_0.48/a0.48_rank631.png
51,0,51,0.2,3,normal,0.5,stimuli_master_pool/alpha_0.20/a0.20_rank069.png
52,0,52,1.0,8,abnormal,0.7,stimuli_master_pool/alpha_1.00/a1.00_rank043.png
53,0,53,0.58,8,abnormal,1.0,stimuli_master_pool/alpha_0.58/a0.58_rank150.png
54,0,54,0.48,3,normal,0.5,stimuli_master_pool/alpha_0.48/a0.48_rank013.png
55,0,55,0.1,3,normal,0.7,stimuli_master_pool/alpha_0.10/a0.10_rank049.png
56,0,56,0.52,8,abnormal,1.0,stimuli_master_pool/alpha_0.52/a0.52_rank414.png
57,0,57,0.52,8,abnormal,0.5,stimuli_master_pool/alpha_0.52/a0.52_rank380.png
58,0,58,0.8,8,abnormal,0.7,stimuli_master_pool/alpha_0.80/a0.80_rank018.png
59,0,59,0.0,3,normal,1.0,stimuli_master_pool/alpha_0.00/a0.00_rank037.png
