trial_index,group_id,trial_in_group,alpha,label_digit,label_type,show_time,image_path
156,2,36,0.3,3,normal,0.5,stimuli_master_pool/alpha_0.30/a0.30_rank287.png
157,2,37,0.3,3,normal,0.7,stimuli_master_pool/alpha_0.30/a0.30_rank354.png
158,2,38,0.38,3,normal,1.0,stimuli_master_pool/alpha_0.38/a0.38_rank658.png
159,2,39,0.3,3,normal,0.5,stimuli_master_pool/alpha_0.30/a0.30_rank268.png
160,2,40,0.46,3,normal,0.7,stimuli_master_pool/alpha_0.46/a0.46_rank254.png
161,2,41,0.34,3,normal,1.0,stimuli_master_pool/alpha_0.34/a0.34_rank276.png
162,2,42,0.0,3,normal,0.5,stimuli_master_pool/alpha_0.00/a0.00_rank045.png
163,2,43,0.54,8,abnormal,0.7,stimuli_master_pool/alpha_0.54/a0.54_rank318.png
164,2,44,0.64,8,abnormal,1.0,stimuli_master_pool/alpha_0.64/a0.64_rank488.png
165,2,45,0.9,8,abnormal,0.5,stimuli_master_pool/alpha_0.90/a0.90_rank139.png
166,2,46,0.34,3,normal,0.7,stimuli_master_pool/alpha_0.34/a0.34_rank037.png
167,2,47,0.56,8,abnormal,1.0,stimuli_master_pool/alpha_0.56/a0.56_rank077.png
168,2,48,0.2,3,normal,0.5,stimuli_master_pool/alpha_0.20/a0.20_rank250.png
169,2,49,0.1,3,normal,0.7,stimuli_master_pool/alpha_0.10/a0.10_rank037.png
170,2,50,0.9,8,abnormal,1.0,stimuli_master_pool/alpha_0.90/a0.90_rank099.png
171,2,51,0.42,3,normal,0.5,stimuli_master_pool/alpha_0.42/a0.42_rank363.png
172,2,52,0.34,3,normal,0.7,stimuli_master_pool/alpha_0.34/a0.34_rank110.png
173,2,53,0.56,8,abnormal,1.0,stimuli_master_pool/alpha_0.56/a0.56_rank165.png
174,2,54,0.7,8,abnormal,0.5,stimuli_master_pool/alpha_0.70/a0.70_rank348.png
175,2,55,0.1,3,normal,0.7,stimuli_master_pool/alpha_0.10/a0.10_rank148.png
176,2,56,0.7,8,abnormal,1.0,stimuli_master_pool/alpha_0.70/a0.70_rank350.png
177,2,57,0.3,3,normal,0.5,stimuli_master_pool/alpha_0.30/a0.30_rank020.png
178,2,58,0.52,8,abnormal,0.7,stimuli_master_pool/alpha_0.52/a0.52_rank435.png
179,2,59,0.64,8,abnormal,1.0,stimuli_master_pool/alpha_0.64/a0.64_rank327.png
